                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    116,                 1.5086,                0.64935,                 1.6578,                0.96316,                0.90251,                 0.9596,                0.76169,                 2.3441,                 1.1437,                 2.0357,                0.00241,                0.00241,                0.00241
                    117,                 1.5067,                0.64618,                 1.6559,                0.96498,                0.90251,                0.96012,                0.76168,                 2.3603,                 1.1588,                 2.0479,               0.002344,               0.002344,               0.002344
                    118,                 1.5048,                 0.6489,                 1.6553,                0.96456,                0.90666,                0.96036,                0.76179,                 2.3375,                 1.1735,                 2.0291,               0.002278,               0.002278,               0.002278
                    119,                 1.5064,                0.64667,                 1.6537,                0.96186,                0.90569,                0.96017,                  0.762,                 2.3384,                 1.1515,                 2.0305,               0.002212,               0.002212,               0.002212
                    120,                 1.4885,                0.63935,                 1.6524,                0.96302,                0.90463,                0.96039,                0.76311,                 2.3341,                 1.1666,                 2.0353,               0.002146,               0.002146,               0.002146
                    121,                 1.5092,                0.64644,                 1.6524,                0.96368,                0.90381,                0.95993,                0.76347,                 2.3602,                 1.1545,                 2.0526,                0.00208,                0.00208,                0.00208
                    122,                 1.4928,                0.64115,                 1.6521,                0.96377,                 0.9024,                0.96018,                0.76334,                 2.3529,                 1.1826,                 2.0272,               0.002014,               0.002014,               0.002014
                    123,                 1.4779,                0.64649,                 1.6528,                0.96078,                0.90625,                0.95995,                0.76258,                 2.3485,                 1.1921,                  2.027,               0.001948,               0.001948,               0.001948
                    124,                 1.4927,                0.64038,                 1.6515,                0.96237,                0.90397,                0.96008,                0.76332,                 2.3393,                 1.1963,                 2.0153,               0.001882,               0.001882,               0.001882
                    125,                 1.4703,                0.63083,                 1.6493,                0.96312,                0.90559,                 0.9607,                0.76377,                 2.3393,                 1.2049,                 2.0213,               0.001816,               0.001816,               0.001816
                    126,                 1.4931,                0.64099,                 1.6522,                0.96569,                0.90347,                0.96038,                0.76381,                 2.3414,                 1.1734,                   2.02,                0.00175,                0.00175,                0.00175
                    127,                 1.4882,                0.63739,                 1.6535,                0.96307,                0.90557,                0.96047,                0.76407,                 2.3498,                 1.1714,                 2.0103,               0.001684,               0.001684,               0.001684
                    128,                  1.456,                0.62502,                 1.6515,                0.96447,                0.90427,                0.96048,                0.76387,                 2.3412,                 1.1784,                 2.0254,               0.001618,               0.001618,               0.001618
                    129,                  1.474,                0.64269,                  1.652,                0.96404,                0.90387,                0.96016,                0.76382,                 2.3328,                 1.1691,                  2.008,               0.001552,               0.001552,               0.001552
                    130,                 1.4681,                0.63032,                 1.6489,                0.96039,                0.90712,                0.96031,                 0.7644,                 2.3359,                 1.1508,                  2.026,               0.001486,               0.001486,               0.001486
                    131,                 1.9652,                0.81359,                 1.7515,                0.96245,                 0.9059,                0.96088,                0.76457,                 2.3285,                 1.1327,                 2.0198,                0.00142,                0.00142,                0.00142
                    132,                 1.9197,                0.79102,                 1.7435,                0.96803,                 0.9027,                0.96163,                0.76682,                 2.3367,                  1.144,                  2.024,               0.001354,               0.001354,               0.001354
                    133,                 1.9309,                0.79564,                 1.7435,                0.96669,                0.90296,                0.96182,                0.76825,                 2.3413,                 1.1437,                 2.0225,               0.001288,               0.001288,               0.001288
                    134,                 1.9015,                0.78273,                  1.739,                0.96476,                0.90626,                0.96237,                0.76913,                 2.3413,                 1.1232,                 2.0237,               0.001222,               0.001222,               0.001222
                    135,                  1.912,                0.78471,                 1.7372,                0.96658,                 0.9065,                0.96266,                0.76999,                 2.3459,                 1.1313,                 2.0229,               0.001156,               0.001156,               0.001156
                    136,                 1.8945,                0.77989,                 1.7347,                0.96653,                0.90681,                0.96293,                0.77112,                 2.3374,                 1.1278,                 2.0146,                0.00109,                0.00109,                0.00109
                    137,                 1.8901,                0.78228,                 1.7349,                0.96624,                0.90711,                0.96298,                 0.7717,                 2.3394,                  1.142,                 2.0196,               0.001024,               0.001024,               0.001024
                    138,                 1.8812,                0.77395,                 1.7313,                0.96761,                0.90701,                0.96323,                0.77243,                 2.3312,                 1.1337,                 2.0167,               0.000958,               0.000958,               0.000958
                    139,                 1.8845,                0.77363,                 1.7291,                0.96718,                0.90782,                0.96343,                0.77286,                 2.3304,                 1.1409,                  2.021,               0.000892,               0.000892,               0.000892
                    140,                 1.8871,                0.77237,                 1.7264,                0.96763,                0.90792,                0.96346,                0.77336,                 2.3333,                 1.1494,                  2.027,               0.000826,               0.000826,               0.000826
                    141,                 1.8721,                0.77301,                 1.7276,                0.96705,                0.90762,                0.96335,                0.77375,                 2.3312,                 1.1537,                 2.0277,                0.00076,                0.00076,                0.00076
                    142,                 1.8737,                0.76867,                 1.7274,                0.96665,                0.90809,                0.96328,                0.77437,                 2.3335,                 1.1604,                 2.0393,               0.000694,               0.000694,               0.000694
                    143,                 1.8757,                 0.7666,                 1.7242,                 0.9662,                0.90807,                0.96324,                0.77463,                 2.3322,                 1.1663,                 2.0421,               0.000628,               0.000628,               0.000628
                    144,                 1.8558,                0.75958,                 1.7228,                0.96591,                0.90797,                0.96325,                0.77503,                 2.3239,                 1.1854,                 2.0338,               0.000562,               0.000562,               0.000562
                    145,                  1.848,                0.75705,                 1.7253,                0.96724,                0.90812,                0.96354,                0.77516,                 2.3207,                 1.1852,                 2.0263,               0.000496,               0.000496,               0.000496
                    146,                 1.8471,                0.75466,                  1.719,                0.96728,                0.90772,                 0.9636,                0.77541,                  2.323,                 1.1784,                 2.0233,                0.00043,                0.00043,                0.00043
                    147,                 1.8365,                0.75158,                 1.7218,                0.96635,                0.90904,                0.96396,                0.77571,                 2.3238,                 1.1836,                 2.0221,               0.000364,               0.000364,               0.000364
                    148,                 1.8434,                0.75354,                 1.7192,                0.96606,                0.90917,                0.96381,                0.77552,                 2.3279,                  1.189,                  2.025,               0.000298,               0.000298,               0.000298
                    149,                 1.8383,                0.75028,                 1.7203,                0.96745,                0.90914,                0.96397,                0.77548,                 2.3296,                 1.1922,                  2.027,               0.000232,               0.000232,               0.000232
                    150,                 1.8431,                0.75302,                 1.7185,                0.96751,                0.90891,                 0.9637,                0.77564,                 2.3273,                 1.1906,                 2.0262,               0.000166,               0.000166,               0.000166
